1.50	5.00	70	39.95	0.34	0.025
1.50	6.00	190	65.82	0.41	0.018
1.50	7.00	205	68.37	0.48	0.021
1.50	4.00	60	36.99	0.27	0.022
1.50	3.00	35	28.25	0.21	0.021
1.50	5.50	170	62.26	0.38	0.018
1.50	6.50	270	78.46	0.45	0.017
1.50	7.50	-	-	0.51	-
1.50	4.50	85	44.02	0.31	0.021
1.50	3.50	45	32.03	0.24	0.022
2.00	5.00	10	20.13	0.34	0.050
2.00	6.00	55	47.22	0.41	0.023
2.00	6.50	80	56.95	0.45	0.023
2.00	7.00	95	62.06	0.48	0.023
2.00	7.50	110	66.78	0.51	0.023
2.00	8.00	135	73.98	0.55	0.022
2.00	8.50	150	77.98	0.58	0.022
2.00	9.00	175	84.23	0.62	0.021
2.00	9.50	195	88.91	0.65	0.021
2.00	10.00	220	 94.44	0.68	0.021
1.00	4.00	225	47.75	0.27	0.017
1.00	3.50	185	43.30	0.24	0.016
1.00	3.00	170	41.51	0.21	0.015
1.00	2.50	105	32.62	0.17	0.015
1.00	2.00	50	22.51	0.14	0.018
1.00	1.50	5	7.12	0.10	0.042
