10	0	1	2	3	4	5	6	7	8	9	10	11
0	8.50	8.50	8.70	8.20	6.40	5.00	3.60	2.00	0.50	0.10	0.10	-
1	8.70	8.70	9.50	8.40	6.50	5.10	3.50	1.90	0.30	0.00	0.10	0.20
2	8.80	8.80	9.50	8.50	6.90	5.00	3.70	1.80	0.20	0.10	0.10	0.20
3	8.90	8.80	9.50	8.30	6.80	5.30	3.50	1.70	0.30	0.10	0.10	0.10
4	9.00	8.90	9.50	8.30	7.00	5.40	3.70	1.60	0.20	0.00	0.00	0.00
5	9.00	8.90	9.50	8.20	7.00	5.20	3.40	1.50	0.20	0.00	0.00	0.00
6	9.00	8.90	9.50	8.20	6.80	5.20	3.70	1.60	0.30	0.00	0.10	0.00
7	8.80	9.00	9.50	8.50	6.90	5.40	3.60	1.40	0.20	0.00	0.00	0.00
8	8.80	8.90	9.50	8.50	7.20	5.40	3.70	1.60	0.20	0.00	0.10	0.10
9	8.60	9.20	9.50	8.30	7.20	5.40	3.90	2.10	0.50	0.10	0.40	0.60
10	8.30	8.20	8.10	7.10	6.80	5.40	4.30	2.70	1.30	0.10	0.90	0.80
11	8.00	7.70	7.50	6.70	6.50	5.20	4.30	3.20	2.10	1.70	1.20	1.20
