10	0	1	2	3	4	5	6	7	8	9	10	11
0	1.60	1.80	2.60	2.70	3.10	3.00	2.80	2.40	2.20	1.90	1.60	1.10
1	1.90	2.30	2.90	3.50	3.90	4.00	3.60	3.20	3.00	2.30	2.10	1.50
2	2.10	2.60	3.50	4.10	4.70	5.00	4.40	3.90	3.70	3.00	2.60	2.00
3	2.20	3.00	4.00	4.80	5.60	6.00	5.30	4.70	4.40	3.60	3.10	2.20
4	2.30	3.20	4.50	5.40	6.40	7.30	6.30	5.40	5.00	4.20	3.40	2.40
5	2.60	3.30	4.70	5.80	7.00	10.00	7.30	6.30	5.60	4.70	3.60	2.50
6	2.30	3.20	4.30	5.10	6.70	10.00	6.30	6.70	5.80	4.80	3.50	2.60
7	2.20	2.90	4.50	4.30	5.00	5.90	5.10	5.70	5.60	4.50	3.30	2.20
8	2.00	2.60	3.80	3.80	4.20	4.80	4.20	4.70	4.40	3.90	2.80	1.80
9	1.80	2.30	3.20	3.30	3.60	3.90	3.70	3.60	3.80	3.30	2.30	1.50
10	1.60	2.00	2.60	2.80	2.80	3.10	2.90	2.90	2.80	2.50	1.80	1.10
11	1.40	1.80	2.20	2.30	2.30	2.50	2.30	2.20	2.00	1.80	1.30	1.00

